# Title: Evolution of incidents and hazard by affected stakeholder
# yLabel: Number of incidents and hazards

Date,General public,Consumers,Government,Civil society,Workers,Business,Children,Other,Trade unions,Women
2020-01,48,24,9,2,12,5,2,2,0,2
2020-02,54,23,6,3,9,9,2,3,0,1
2020-03,37,15,3,1,4,3,1,2,0,0
2020-04,34,12,1,0,1,0,3,2,0,0
2020-05,31,15,4,2,2,1,1,1,0,0
2020-06,38,18,1,3,5,1,2,3,0,1
2020-07,47,19,11,6,7,4,2,3,0,1
2020-08,43,14,6,4,6,3,1,0,1,3
2020-09,61,24,7,2,9,3,4,6,0,1
2020-10,39,23,2,2,10,6,5,1,0,6
2020-11,54,26,7,0,5,5,1,2,0,5
2020-12,42,20,2,2,7,4,2,6,0,1
2021-01,47,23,6,0,8,5,8,3,0,2
2021-02,43,14,5,1,5,3,2,4,0,2
2021-03,50,30,7,5,5,4,6,3,0,3
2021-04,40,29,9,1,7,1,6,6,0,3
2021-05,53,29,6,3,8,1,2,3,0,2
2021-06,40,23,4,3,15,5,7,2,0,2
2021-07,81,37,73,96,16,8,8,8,0,5
2021-08,61,45,16,16,19,7,4,4,0,4
2021-09,77,40,14,6,10,11,15,6,0,5
2021-10,83,34,24,3,8,7,20,3,0,4
2021-11,72,33,11,11,12,6,6,2,0,0
2021-12,69,27,18,8,11,4,6,1,0,3
2022-01,51,28,11,11,10,7,7,2,0,6
2022-02,42,23,7,8,5,4,4,3,0,2
2022-03,51,19,12,6,9,5,4,2,0,0
2022-04,41,21,3,9,7,0,6,2,0,0
2022-05,52,26,11,3,11,5,5,2,0,3
2022-06,56,23,7,5,5,7,8,4,0,7
2022-07,60,31,13,8,6,3,8,6,0,1
2022-08,59,26,10,5,15,9,7,5,0,4
2022-09,52,18,4,6,4,4,6,4,0,4
2022-10,52,24,13,3,7,9,5,5,0,2
2022-11,34,31,8,3,6,2,3,1,0,2
2022-12,48,17,8,4,9,8,9,5,0,1
2023-01,70,32,10,4,19,13,6,7,0,3
2023-02,59,33,16,3,14,11,7,5,0,5
2023-03,98,61,28,8,19,25,15,2,0,6
2023-04,77,32,15,7,21,18,14,5,0,3
2023-05,98,50,12,10,25,25,15,7,1,5
2023-06,79,37,11,5,26,18,15,8,1,6
2023-07,87,38,17,0,22,18,9,8,1,3
2023-08,78,59,16,4,27,31,9,11,0,8
2023-09,89,42,19,2,23,13,14,12,0,8
2023-10,104,46,30,9,14,28,18,13,1,6
2023-11,99,42,28,2,27,24,19,14,0,13
2023-12,86,39,15,5,12,22,14,8,0,11
2024-01,136,74,33,1,30,36,20,25,0,19
2024-02,135,69,33,5,17,32,19,21,1,3
2024-03,138,58,34,5,28,30,17,13,1,13
2024-04,131,64,25,5,31,25,21,11,0,8
2024-05,123,75,32,1,25,30,19,24,0,13
2024-06,112,55,33,3,25,37,11,19,0,5
2024-07,97,53,24,1,22,31,13,9,0,9
2024-08,103,46,22,0,20,32,20,12,0,8
2024-09,87,45,21,4,16,19,10,9,0,10
2024-10,121,66,23,6,23,30,29,14,0,6
2024-11,102,49,20,4,20,25,14,12,0,9
2024-12,101,53,25,3,16,24,16,12,0,6
2025-01,113,110,50,1,22,68,20,13,0,13
2025-02,160,117,72,6,46,50,27,21,0,14
2025-03,104,79,28,5,27,60,25,18,0,11
2025-04,134,92,34,3,31,57,28,19,0,15
2025-05,140,113,35,3,36,47,27,18,2,15
2025-06,165,79,36,4,34,44,16,10,1,10
2025-07,185,89,56,8,40,46,26,28,0,10
2025-08,159,132,50,4,45,62,40,16,0,11
2025-09,186,106,48,8,49,59,32,19,0,15
2025-10,234,132,62,6,65,54,53,33,1,15
2025-11,191,142,68,4,54,72,50,16,0,17
2025-12,191,108,52,8,38,66,51,20,0,18
2026-01,223,122,34,4,58,70,169,21,0,102
2026-02,222,132,49,2,63,68,65,18,1,22
2026-03,247,129,68,7,58,112,60,21,0,27
2026-04,180,107,58,1,67,112,27,16,0,16
