# Title: Evolution of incidents and hazards by location
# yLabel: Number of incidents and hazards
# Footer: Top 10 locations are shown.

Date,United States,China,Russia,Germany,Korea,Ukraine,Spain,United Kingdom,France,India
2020-04,8,4,2,1,0,0,0,0,0,0
2020-05,23,7,0,1,0,0,0,3,1,0
2020-06,27,4,2,2,0,0,0,0,0,0
2020-07,29,7,3,2,0,0,3,4,0,0
2020-08,15,5,0,2,0,0,0,5,0,1
2020-09,18,5,0,0,0,0,0,3,0,0
2020-10,12,0,0,3,1,0,0,0,0,0
2020-11,13,9,2,3,0,0,0,4,0,0
2020-12,5,10,0,1,1,0,0,0,0,1
2021-01,19,7,0,0,3,0,0,3,0,4
2021-02,24,6,0,0,0,0,0,3,1,0
2021-03,26,16,3,2,0,0,2,5,0,0
2021-04,33,8,0,2,0,0,0,4,4,3
2021-05,40,10,2,6,0,0,0,3,0,0
2021-06,27,10,0,0,0,0,0,5,0,4
2021-07,30,10,4,0,0,0,0,8,22,16
2021-08,57,11,11,0,0,0,0,5,3,4
2021-09,47,13,12,7,0,0,0,8,0,0
2021-10,53,9,13,0,0,0,0,9,4,4
2021-11,37,7,15,3,0,0,0,6,0,0
2021-12,39,16,8,0,0,3,0,3,4,3
2022-01,41,8,4,0,0,0,0,0,0,8
2022-02,27,3,3,4,0,0,0,7,0,3
2022-03,24,4,4,2,0,12,0,0,0,0
2022-04,29,4,0,0,0,6,3,0,2,0
2022-05,40,10,2,3,0,0,0,6,0,3
2022-06,45,6,0,5,0,0,0,0,2,2
2022-07,30,15,3,4,0,4,3,11,0,0
2022-08,39,12,14,0,0,0,0,6,0,10
2022-09,34,4,0,4,0,0,0,7,0,0
2022-10,40,10,5,3,0,6,0,9,0,0
2022-11,33,10,3,0,0,0,4,5,0,0
2022-12,38,10,3,3,0,0,2,0,2,0
2023-01,53,7,5,0,0,6,0,6,3,3
2023-02,48,3,8,3,0,7,0,11,0,0
2023-03,85,18,5,0,0,0,4,5,3,3
2023-04,38,8,7,0,0,0,4,9,4,0
2023-05,57,11,7,0,0,0,8,13,5,3
2023-06,57,9,7,4,0,0,6,5,5,0
2023-07,77,6,5,0,0,0,4,14,4,4
2023-08,70,5,0,5,0,0,0,14,0,3
2023-09,56,0,9,0,0,11,4,13,3,7
2023-10,58,0,11,4,0,0,4,19,0,3
2023-11,78,6,14,5,0,0,5,21,0,18
2023-12,65,5,4,0,0,0,4,7,4,16
2024-01,107,9,10,5,0,0,0,20,5,18
2024-02,100,13,0,6,0,12,6,10,0,10
2024-03,68,14,7,6,0,4,0,12,0,11
2024-04,96,13,13,0,6,0,5,15,6,10
2024-05,76,10,11,5,0,0,6,10,6,31
2024-06,68,15,6,5,0,0,0,5,0,8
2024-07,87,9,0,0,0,8,5,10,0,7
2024-08,77,11,9,10,0,5,0,10,0,7
2024-09,55,4,9,3,5,3,0,8,0,0
2024-10,74,10,7,3,0,0,0,8,8,6
2024-11,48,15,0,0,0,6,8,20,0,14
2024-12,68,6,7,5,0,8,5,13,0,15
2025-01,96,27,0,8,0,0,7,17,7,10
2025-02,74,41,15,10,17,11,0,20,0,12
2025-03,82,41,0,0,0,7,0,12,7,9
2025-04,99,18,0,8,10,0,0,13,0,17
2025-05,127,26,0,13,11,10,11,17,8,0
2025-06,104,25,14,13,0,17,8,20,0,14
2025-07,129,27,11,12,11,16,10,22,0,22
2025-08,137,27,14,10,10,10,11,28,0,21
2025-09,144,25,12,11,15,12,0,20,0,23
2025-10,175,27,0,17,23,0,13,35,0,26
2025-11,162,36,21,0,13,23,11,31,0,33
2025-12,127,34,13,15,31,0,0,35,11,25
2026-01,193,27,13,0,24,0,0,47,0,28
2026-02,179,28,0,16,31,0,17,33,21,35
2026-03,202,59,0,18,25,16,0,34,11,22
