# Title: Evolution of incidents and hazards by industry
# yLabel: Number of incidents and hazards
# Footer: Top 10 industries are shown.

Date,"Government, security, and defence","Media, social platforms, and marketing",Digital security,"Healthcare, drugs, and biotechnology",Mobility and autonomous vehicles,"Robots, sensors, and IT hardware",Consumer services,IT infrastructure and hosting,Financial and insurance services,"Arts, entertainment, and recreation"
2020-01,34,15,16,3,18,12,8,2,3,1
2020-02,50,8,16,6,15,4,2,0,2,0
2020-03,32,6,7,8,12,2,2,0,1,0
2020-04,22,8,3,11,11,2,1,0,1,0
2020-05,23,14,12,7,6,3,1,1,0,0
2020-06,34,14,6,2,12,5,3,0,2,0
2020-07,36,17,10,3,16,2,4,0,2,0
2020-08,34,17,13,3,13,3,2,3,4,0
2020-09,50,21,8,6,21,9,2,0,1,0
2020-10,18,23,3,4,24,4,5,0,3,0
2020-11,39,19,5,3,9,8,4,0,4,2
2020-12,38,10,8,4,18,10,7,2,4,0
2021-01,40,14,9,4,19,7,11,1,2,0
2021-02,35,16,4,2,14,6,2,0,1,1
2021-03,34,16,9,6,17,9,10,1,2,0
2021-04,43,19,6,4,16,8,3,0,2,0
2021-05,35,21,7,4,29,7,3,0,3,0
2021-06,38,17,9,5,9,7,5,4,1,2
2021-07,153,19,102,3,17,10,6,4,5,0
2021-08,69,16,34,9,24,9,8,3,6,0
2021-09,57,30,14,11,34,12,4,1,1,2
2021-10,62,45,19,6,22,9,3,0,3,2
2021-11,59,26,22,11,23,8,2,2,0,1
2021-12,57,19,24,8,22,10,4,1,5,0
2022-01,58,31,45,9,34,30,8,11,4,0
2022-02,44,23,46,6,26,19,4,11,3,1
2022-03,48,24,38,6,36,27,2,10,4,1
2022-04,40,26,36,3,18,16,8,4,5,1
2022-05,56,29,57,6,28,26,12,14,8,2
2022-06,52,34,33,7,32,28,11,10,4,0
2022-07,69,33,56,7,29,22,13,18,4,4
2022-08,61,36,54,4,44,36,12,15,7,1
2022-09,43,19,10,3,16,9,3,4,2,1
2022-10,48,26,26,6,17,15,8,6,4,5
2022-11,44,21,44,7,33,26,2,13,3,3
2022-12,56,30,52,15,19,28,8,13,6,3
2023-01,65,46,55,4,34,28,10,14,10,9
2023-02,50,36,27,5,27,20,11,11,5,6
2023-03,78,67,66,11,24,14,19,18,15,3
2023-04,68,63,75,7,30,24,16,29,13,11
2023-05,89,83,95,27,26,31,17,28,30,13
2023-06,65,65,57,13,19,17,13,13,14,15
2023-07,81,63,70,10,34,35,12,28,15,17
2023-08,79,73,91,11,41,29,21,39,32,13
2023-09,91,84,86,16,40,37,14,26,13,10
2023-10,105,91,97,20,34,33,19,27,14,13
2023-11,99,115,115,15,46,33,21,28,33,22
2023-12,80,82,105,12,22,19,8,24,29,12
2024-01,140,145,149,17,37,28,31,41,35,19
2024-02,119,104,112,9,45,40,21,34,30,11
2024-03,84,93,60,15,27,16,17,20,20,7
2024-04,120,112,126,17,51,46,19,34,37,15
2024-05,118,121,117,18,47,37,20,35,22,17
2024-06,115,111,107,11,38,31,13,40,26,13
2024-07,106,99,117,12,43,36,19,42,34,8
2024-08,99,96,111,8,32,28,19,36,21,14
2024-09,82,71,86,16,39,25,10,39,25,8
2024-10,112,117,131,13,51,45,27,41,35,11
2024-11,113,95,110,9,48,42,26,35,29,9
2024-12,103,81,110,17,46,41,25,50,18,10
2025-01,152,137,177,17,47,39,60,99,35,11
2025-02,208,177,221,18,49,48,59,108,57,20
2025-03,140,138,161,26,42,47,34,68,41,20
2025-04,159,155,168,27,52,51,36,75,33,25
2025-05,164,144,179,32,82,82,50,76,40,16
2025-06,118,106,104,27,55,48,21,45,19,8
2025-07,158,147,139,28,43,44,27,61,30,7
2025-08,127,147,123,42,52,30,43,49,32,7
2025-09,128,130,62,15,48,30,17,26,32,12
2025-10,160,173,75,27,48,37,36,31,37,8
2025-11,149,133,77,35,44,39,42,22,32,12
2025-12,143,123,79,26,38,27,24,30,32,9
2026-01,115,292,82,25,45,23,32,33,42,9
2026-02,154,172,103,31,45,19,17,51,44,6
2026-03,189,183,105,26,43,29,39,47,36,9
2026-04,138,104,128,24,30,21,25,51,67,7
