# Title: Evolution of incidents and hazards by severity
# yLabel: Number of incidents and hazards

Date,AI incident,AI hazard
2020-01,42,44
2020-02,52,38
2020-03,31,26
2020-04,25,24
2020-05,33,22
2020-06,34,31
2020-07,38,40
2020-08,43,34
2020-09,56,44
2020-10,44,29
2020-11,40,44
2020-12,39,42
2021-01,39,47
2021-02,33,36
2021-03,51,34
2021-04,44,43
2021-05,47,45
2021-06,52,34
2021-07,187,35
2021-08,89,50
2021-09,80,63
2021-10,96,47
2021-11,83,41
2021-12,73,47
2022-01,62,41
2022-02,53,26
2022-03,46,36
2022-04,49,23
2022-05,53,39
2022-06,53,40
2022-07,69,36
2022-08,70,45
2022-09,55,36
2022-10,59,47
2022-11,40,42
2022-12,49,38
2023-01,73,48
2023-02,65,53
2023-03,98,87
2023-04,80,71
2023-05,125,65
2023-06,98,69
2023-07,82,77
2023-08,117,58
2023-09,111,64
2023-10,129,69
2023-11,149,71
2023-12,105,59
2024-01,174,103
2024-02,160,81
2024-03,167,80
2024-04,147,95
2024-05,160,107
2024-06,130,95
2024-07,134,73
2024-08,132,65
2024-09,99,67
2024-10,154,95
2024-11,123,81
2024-12,104,84
2025-01,188,111
2025-02,220,141
2025-03,190,98
2025-04,216,100
2025-05,229,124
2025-06,213,108
2025-07,240,133
2025-08,289,99
2025-09,270,146
2025-10,326,184
2025-11,345,148
2025-12,296,157
2026-01,440,156
2026-02,365,186
2026-03,394,200
2026-04,282,200
