# Title: Evolution of incidents and hazards by severity
# yLabel: Number of incidents and hazards

Date,AI hazard,AI incident
2020-01,44,42
2020-02,38,52
2020-03,26,31
2020-04,24,25
2020-05,26,37
2020-06,32,33
2020-07,40,38
2020-08,35,43
2020-09,45,55
2020-10,29,44
2020-11,44,40
2020-12,42,40
2021-01,47,40
2021-02,36,33
2021-03,34,51
2021-04,43,44
2021-05,45,47
2021-06,34,52
2021-07,35,187
2021-08,50,89
2021-09,63,80
2021-10,47,96
2021-11,41,83
2021-12,47,73
2022-01,41,62
2022-02,26,53
2022-03,36,46
2022-04,23,49
2022-05,39,53
2022-06,40,53
2022-07,36,69
2022-08,45,70
2022-09,36,55
2022-10,47,59
2022-11,42,40
2022-12,38,49
2023-01,48,73
2023-02,53,65
2023-03,87,98
2023-04,71,80
2023-05,65,125
2023-06,69,98
2023-07,77,82
2023-08,58,117
2023-09,64,111
2023-10,69,129
2023-11,71,149
2023-12,59,105
2024-01,103,174
2024-02,81,160
2024-03,80,167
2024-04,95,147
2024-05,107,160
2024-06,95,130
2024-07,73,134
2024-08,65,132
2024-09,67,99
2024-10,95,154
2024-11,81,123
2024-12,84,104
2025-01,111,188
2025-02,141,220
2025-03,98,190
2025-04,100,216
2025-05,124,228
2025-06,108,213
2025-07,133,240
2025-08,99,289
2025-09,146,270
2025-10,184,326
2025-11,148,344
2025-12,157,296
2026-01,156,440
2026-02,186,365
