# Title: Evolution of incidents and hazard by affected stakeholder
# yLabel: Number of incidents and hazards

Date,General public,Consumers,Workers,Government,Business,Children,Civil society,Other,Women,Trade unions
2020-01,48,24,12,9,5,2,2,2,2,0
2020-02,54,23,9,6,9,2,3,3,1,0
2020-03,37,15,4,3,3,1,1,2,0,0
2020-04,34,12,1,1,0,3,0,2,0,0
2020-05,37,18,2,4,1,1,2,1,0,0
2020-06,38,18,5,1,1,2,3,3,1,0
2020-07,47,19,7,11,4,2,6,3,1,0
2020-08,43,14,6,6,3,1,4,0,3,1
2020-09,61,24,9,7,3,4,2,6,1,0
2020-10,39,23,10,2,6,5,2,1,6,0
2020-11,54,26,5,7,5,1,0,2,5,0
2020-12,43,20,7,2,4,2,2,6,1,0
2021-01,48,23,8,6,5,8,0,4,2,0
2021-02,43,14,5,5,3,2,1,4,2,0
2021-03,50,30,5,7,4,6,5,3,3,0
2021-04,40,29,7,9,1,6,1,6,3,0
2021-05,53,29,8,6,1,2,3,3,2,0
2021-06,40,23,15,4,5,7,3,2,2,0
2021-07,81,37,16,73,8,8,96,8,5,0
2021-08,61,45,19,16,7,4,16,4,4,0
2021-09,77,40,10,14,11,15,6,6,5,0
2021-10,83,34,8,24,7,20,3,3,4,0
2021-11,72,33,12,11,6,6,11,2,0,0
2021-12,69,27,11,18,4,6,8,1,3,0
2022-01,51,28,10,11,7,7,11,2,6,0
2022-02,42,23,5,7,4,4,8,3,2,0
2022-03,51,19,9,12,5,4,6,2,0,0
2022-04,41,21,7,3,0,6,9,2,0,0
2022-05,52,26,11,11,5,5,3,2,3,0
2022-06,56,23,5,7,7,8,5,4,7,0
2022-07,60,31,6,13,3,8,8,6,1,0
2022-08,59,26,15,10,9,7,5,5,4,0
2022-09,52,18,4,4,4,6,6,4,4,0
2022-10,52,24,7,13,9,5,3,5,2,0
2022-11,34,31,6,8,2,3,3,1,2,0
2022-12,48,17,9,8,8,9,4,5,1,0
2023-01,70,32,19,10,13,6,4,7,3,0
2023-02,59,33,14,16,11,7,3,5,5,0
2023-03,98,61,19,28,25,15,8,2,6,0
2023-04,77,32,21,15,18,14,7,5,3,0
2023-05,98,50,25,12,25,15,10,7,5,1
2023-06,79,37,26,11,18,15,5,8,6,1
2023-07,87,38,22,17,18,9,0,8,3,1
2023-08,78,59,27,16,31,9,4,11,8,0
2023-09,89,42,23,19,13,14,2,12,8,0
2023-10,104,46,14,30,28,18,9,13,6,1
2023-11,99,42,27,28,24,19,2,14,13,0
2023-12,86,39,12,15,22,14,5,8,11,0
2024-01,136,74,30,33,36,20,1,25,19,0
2024-02,135,69,17,33,32,19,5,21,3,1
2024-03,138,58,28,34,30,17,5,13,13,1
2024-04,131,64,31,25,25,21,5,11,8,0
2024-05,123,75,25,32,30,19,1,24,13,0
2024-06,112,55,25,33,37,11,3,19,5,0
2024-07,97,53,22,24,31,13,1,9,9,0
2024-08,103,46,20,22,32,20,0,12,8,0
2024-09,87,45,16,21,19,10,4,9,10,0
2024-10,121,66,23,23,30,29,6,14,6,0
2024-11,102,49,20,20,25,14,4,12,9,0
2024-12,101,53,16,25,24,16,3,12,6,0
2025-01,113,110,22,50,68,20,1,13,13,0
2025-02,160,117,46,72,50,27,6,21,14,0
2025-03,104,79,27,28,60,25,5,18,11,0
2025-04,134,92,31,34,57,28,3,19,15,0
2025-05,139,113,36,35,47,27,3,18,15,2
2025-06,165,79,34,36,44,16,4,10,10,1
2025-07,185,89,40,56,46,26,8,28,10,0
2025-08,159,132,45,50,62,40,4,16,11,0
2025-09,186,106,49,48,59,32,8,19,15,0
2025-10,234,132,65,62,54,53,6,33,15,1
2025-11,191,141,54,68,72,50,4,16,17,0
2025-12,191,108,38,52,66,51,8,20,18,0
2026-01,223,122,58,34,70,169,4,21,102,0
2026-02,222,132,63,49,68,65,2,18,22,1
